# source=synthetic sigma=0.002 rad/s seed=0
# accel_unit=m/s^2
# gyro_unit=rad/s
# frame=hand
# bias_subtracted=0
# note=synthetic still noise, do not copy Allan output into firmware
t_us,gx,gy,gz,ax,ay,az
0,0.00125146044,-0.000764209727,0.0014808453,0,0,9.80665
10000,0.00120980023,-0.00157133875,0.00092319011,0,0,9.80665
20000,0.00360800009,0.00139416193,-0.00120747047,0,0,9.80665
30000,-0.00153084294,-0.00174654893,0.000282651959,0,0,9.80665
40000,-0.00365006155,-0.000937583328,-0.00229182189,0,0,9.80665
50000,-0.000464534709,-0.00158851797,-0.000432600313,0,0,9.80665
60000,0.00182326107,0.00158502674,-5.70693259e-05,0,0,9.80665
70000,0.00373292694,-0.00183038935,0.00090302014,0,0,9.80665
80000,0.00280694036,-0.000311975404,-0.0012869985,0,0,9.80665
90000,-0.000843450753,-0.00141545165,0.000640390247,0,0,9.80665
100000,-0.00101923637,-0.00091835115,-0.00011845002,0,0,9.80665
110000,0.00208169117,-7.0681755e-05,0.000910745418,0,0,9.80665
120000,-0.000307657219,-0.000759227267,0.00176795094,0,0,9.80665
130000,0.00398686229,-0.00301813106,0.00322784755,0,0,9.80665
140000,0.00369175085,0.0010626228,0.000728911261,0,0,9.80665
150000,0.000372154371,0.00241604137,0.00412051663,0,0,9.80665
160000,0.00460326974,0.00213020753,0.000914760821,0,0,9.80665
170000,-0.00141663726,-0.000508908266,0.00151294987,0,0,9.80665
180000,-0.00157672293,0.00029024412,0.00105972739,0,0,9.80665
190000,0.00239208545,-0.00286823593,-0.00112340514,0,0,9.80665
200000,0.000127129506,-0.00283960382,0.00367873575,0,0,9.80665
210000,8.17854312e-06,0.000157939259,-0.000317145091,0,0,9.80665
220000,0.00416694576,0.00214072197,0.00146670525,0,0,9.80665
230000,-0.00340701976,-0.000395942051,0.00156737238,0,0,9.80665
240000,0.00300792315,-0.00173581409,0.00384402273,0,0,9.80665
250000,-0.00164086194,-0.00182305604,0.00207009998,0,0,9.80665
260000,0.00109810923,0.00350478517,0.000577038385,0,0,9.80665
270000,-0.00026638818,-0.00125512701,-0.00198229224,0,0,9.80665
280000,-0.00155536033,0.000760822982,0.00136233162,0,0,9.80665
290000,0.00358911764,-0.00200921158,0.0035782149,0,0,9.80665
300000,0.000425224584,0.00264881656,-0.000665571694,0,0,9.80665
310000,-0.000470966585,-4.29256883e-07,0.00226290617,0,0,9.80665
320000,0.00132201915,-0.00167105765,-0.00248243943,0,0,9.80665
330000,-0.00180304043,0.0005053657,0.00217942607,0,0,9.80665
340000,0.000671410815,-0.00264872972,0.00194608431,0,0,9.80665
350000,-0.00156078789,-0.00192613619,0.00144203571,0,0,9.80665
360000,-0.00350028235,0.000272739195,-0.000963281673,0,0,9.80665
370000,0.00121855939,-0.000651403052,0.00060422879,0,0,9.80665
380000,0.00238834387,-0.0020167395,0.00304196404,0,0,9.80665
390000,0.00245218758,0.00118746532,0.00252972796,0,0,9.80665
400000,0.00257517644,0.00118815736,0.000351187221,0,0,9.80665
410000,-0.0018535477,-0.0007700902,-0.00133902928,0,0,9.80665
420000,-0.00184548354,1.69055818e-05,-0.000937098908,0,0,9.80665
430000,-0.00105960888,-0.00258600216,0.000736834159,0,0,9.80665
440000,0.0017173439,0.00214491494,0.000172170663,0,0,9.80665
450000,0.00308367952,0.00230452965,0.00250033127,0,0,9.80665
460000,-0.00373060781,0.00195736744,0.000879240016,0,0,9.80665
470000,0.00184754271,0.000242454835,0.000965514321,0,0,9.80665
480000,0.00163882844,-0.00121782662,-0.0036032706,0,0,9.80665
490000,0.000782170544,-0.0021074637,0.00236032683,0,0,9.80665
500000,0.000422466988,-0.000333049288,-0.00149921191,0,0,9.80665
510000,-2.12449358e-05,-0.000523066123,-0.00277075037,0,0,9.80665
520000,0.00160137023,-0.000712144507,-0.00217143961,0,0,9.80665
530000,-0.00379646573,0.000526104268,-0.000395168078,0,0,9.80665
540000,-6.00168264e-05,-0.00097230926,0.00383295188,0,0,9.80665
550000,0.000900398062,-0.000326761474,-0.00277414574,0,0,9.80665
560000,0.00429467813,0.00133497597,0.00233386973,0,0,9.80665
